team,epa_2025_total_points_mean,epa_2025_total_points_sd,epa_2025_unitless,epa_2025_norm,epa_2025_conf_low,epa_2025_conf_high,epa_2025_breakdown_total_points,epa_2025_breakdown_auto_points,epa_2025_breakdown_teleop_points,epa_2025_breakdown_endgame_points,epa_2025_breakdown_auto_rp,epa_2025_breakdown_coral_rp,epa_2025_breakdown_barge_rp,epa_2025_breakdown_tiebreaker_points,epa_2025_breakdown_auto_leave_points,epa_2025_breakdown_auto_coral,epa_2025_breakdown_auto_coral_points,epa_2025_breakdown_teleop_coral,epa_2025_breakdown_teleop_coral_points,epa_2025_breakdown_coral_l1,epa_2025_breakdown_coral_l2,epa_2025_breakdown_coral_l3,epa_2025_breakdown_coral_l4,epa_2025_breakdown_total_coral_points,epa_2025_breakdown_processor_algae,epa_2025_breakdown_processor_algae_points,epa_2025_breakdown_net_algae,epa_2025_breakdown_net_algae_points,epa_2025_breakdown_total_algae_points,epa_2025_breakdown_total_game_pieces,epa_2025_breakdown_barge_points,epa_2025_breakdown_rp_1,epa_2025_breakdown_rp_2,epa_2025_breakdown_rp_3,epa_2025_stats_start,epa_2025_stats_pre_champs,epa_2025_stats_max,epa_2025_ranks_total_rank,epa_2025_ranks_total_percentile,epa_2025_ranks_total_team_count,epa_2025_ranks_country_rank,epa_2025_ranks_country_percentile,epa_2025_ranks_country_team_count,epa_2025_ranks_state_rank,epa_2025_ranks_state_percentile,epa_2025_ranks_state_team_count,epa_2025_ranks_district_rank,epa_2025_ranks_district_percentile,epa_2025_ranks_district_team_count,epa_2024_total_points_mean,epa_2024_total_points_sd,epa_2024_unitless,epa_2024_norm,epa_2024_conf_low,epa_2024_conf_high,epa_2024_breakdown_total_points,epa_2024_breakdown_auto_points,epa_2024_breakdown_teleop_points,epa_2024_breakdown_endgame_points,epa_2024_breakdown_melody_rp,epa_2024_breakdown_ensemble_rp,epa_2024_breakdown_tiebreaker_points,epa_2024_breakdown_auto_leave_points,epa_2024_breakdown_auto_notes,epa_2024_breakdown_auto_note_points,epa_2024_breakdown_teleop_notes,epa_2024_breakdown_teleop_note_points,epa_2024_breakdown_amp_notes,epa_2024_breakdown_amp_points,epa_2024_breakdown_speaker_notes,epa_2024_breakdown_speaker_points,epa_2024_breakdown_amplified_notes,epa_2024_breakdown_total_notes,epa_2024_breakdown_total_note_points,epa_2024_breakdown_endgame_park_points,epa_2024_breakdown_endgame_on_stage_points,epa_2024_breakdown_endgame_harmony_points,epa_2024_breakdown_endgame_trap_points,epa_2024_breakdown_endgame_spotlight_points,epa_2024_breakdown_rp_1,epa_2024_breakdown_rp_2,epa_2024_stats_start,epa_2024_stats_pre_champs,epa_2024_stats_max,epa_2024_ranks_total_rank,epa_2024_ranks_total_percentile,epa_2024_ranks_total_team_count,epa_2024_ranks_country_rank,epa_2024_ranks_country_percentile,epa_2024_ranks_country_team_count,epa_2024_ranks_state_rank,epa_2024_ranks_state_percentile,epa_2024_ranks_state_team_count,epa_2024_ranks_district_rank,epa_2024_ranks_district_percentile,epa_2024_ranks_district_team_count
1,19.0,5.09,1441.0,1481.0,-0.8,1.16,19.0,4.39,13.01,1.6,0.248,-0.0608,0.08319,-0.04,2.71,0.28,1.68,3.16,12.01,0.86,0.42,0.39,1.71,13.69,0.31,0.92,0.02,0.08,1.0,3.71,1.6,0.248,-0.0608,0.08319,27.85,19.0,19.28,1972,0.4688,3712,1628,0.4476,2947,304,0.4253,529,304,0.4253,529,22.67,4.03,1594.0,1567.0,-0.78,0.98,22.67,8.49,12.16,2.03,0.4059,-0.1348,0.33,1.85,1.32,6.64,5.59,12.16,1.55,1.54,5.37,17.25,0.84,6.91,18.79,0.3,1.89,0.03,-0.17,-0.03,0.4059,-0.1348,14.53,22.67,23.82,797.0,0.7708,3477.0,692.0,0.754,2813.0,130.0,0.7456,511.0,130.0,0.7456,511.0
4,22.35,6.1,1464.0,1507.0,-1.02,0.78,22.35,2.61,18.09,1.65,0.0587,-0.0583,0.16007,0.07,2.98,-0.07,-0.37,3.28,12.45,0.28,0.96,1.15,0.86,12.08,0.51,1.53,1.03,4.11,5.64,4.8,1.65,0.0587,-0.0583,0.16007,26.81,22.35,25.45,1529,0.5881,3712,1250,0.5758,2947,136,0.531,290,766,0.6094,1961,20.66,6.27,1569.0,1551.0,-0.94,0.83,20.66,8.71,10.27,1.68,0.1222,0.1592,0.31,1.79,1.38,6.92,4.73,10.27,1.18,1.16,4.93,16.02,0.66,6.11,17.19,0.14,1.18,0.07,0.38,-0.1,0.1222,0.1592,14.33,21.35,22.11,979.0,0.7184,3477.0,839.0,0.7017,2813.0,95.0,0.6631,282.0,423.0,0.7655,1804.0
8,42.29,5.47,1599.0,1643.0,-0.9,1.17,42.29,12.3,26.01,3.98,0.3445,-0.023,0.10314,-0.01,2.64,1.4,9.66,5.91,26.66,0.08,0.6,1.45,5.14,36.32,-0.36,-1.08,0.11,0.43,-0.65,7.02,3.98,0.3445,-0.023,0.10314,28.84,42.29,42.96,311,0.9162,3712,246,0.9165,2947,26,0.9103,290,126,0.9357,1961,22.83,4.77,1595.0,1568.0,-0.84,0.92,22.83,10.09,11.98,0.76,0.23,-0.0362,0.16,1.43,1.73,8.66,4.74,11.98,1.15,1.15,5.33,19.5,1.22,6.47,20.65,0.91,0.09,-0.1,-0.09,-0.05,0.23,-0.0362,17.01,22.6,23.72,786.0,0.7739,3477.0,683.0,0.7572,2813.0,77.0,0.727,282.0,334.0,0.8149,1804.0
11,53.47,5.32,1675.0,1717.0,-0.81,1.1,53.47,10.34,34.85,8.28,0.4405,-0.032,0.56461,0.02,3.19,1.08,7.15,7.39,31.84,0.65,1.01,1.1,5.59,38.99,0.25,0.75,0.56,2.25,3.0,9.17,8.28,0.4405,-0.032,0.56461,31.7,53.47,53.47,131,0.9647,3712,105,0.9644,2947,3,0.9677,93,5,0.964,139,23.84,3.1,1608.0,1576.0,-0.86,0.9,23.84,7.8,11.96,4.08,0.4291,0.1752,0.26,1.99,1.63,5.82,5.36,11.96,4.47,5.25,2.52,12.53,1.64,6.99,17.78,-0.02,3.22,0.21,0.51,0.16,0.4291,0.1752,19.11,23.84,24.03,705.0,0.7972,3477.0,614.0,0.7817,2813.0,20.0,0.7701,87.0,37.0,0.7087,127.0
16,38.81,6.53,1576.0,1621.0,-0.92,1.04,38.81,9.71,26.58,2.52,0.2107,0.0485,0.14058,0.01,2.61,1.08,7.1,6.02,23.28,0.98,0.98,1.92,3.13,30.38,0.16,0.49,0.7,2.81,3.3,7.87,2.52,0.2107,0.0485,0.14058,39.57,38.81,38.81,407,0.8904,3712,323,0.8904,2947,2,0.8333,12,171,0.9128,1961,36.01,6.34,1756.0,1696.0,-0.63,1.06,36.01,8.63,24.78,2.6,0.3617,0.1783,0.21,1.6,1.41,7.02,8.04,24.78,3.19,3.2,6.26,28.61,3.96,9.45,31.8,0.47,1.84,0.47,-0.23,0.07,0.3617,0.1783,21.97,29.29,36.01,156.0,0.9551,3477.0,135.0,0.952,2813.0,2.0,0.8333,12.0,57.0,0.9684,1804.0
20,45.16,6.32,1619.0,1661.0,-0.91,1.24,45.16,5.25,32.22,7.68,0.2217,0.0732,0.29587,-0.02,2.83,0.38,2.42,7.57,32.19,0.35,1.1,2.39,4.03,34.61,0.0,0.0,0.01,0.03,0.04,7.93,7.68,0.2217,0.0732,0.29587,30.45,45.16,45.16,244,0.9343,3712,194,0.9342,2947,13,0.9139,151,99,0.9495,1961,22.39,3.7,1590.0,1564.0,-0.81,1.01,22.39,6.93,13.58,1.89,0.2965,0.0082,0.14,1.39,1.1,5.54,5.47,13.58,1.42,1.42,5.15,17.71,1.36,6.57,19.12,0.39,1.21,0.16,-0.03,0.16,0.2965,0.0082,19.31,22.39,22.39,828.0,0.7619,3477.0,718.0,0.7448,2813.0,37.0,0.7431,144.0,358.0,0.8016,1804.0
21,24.14,3.5,1476.0,1520.0,-1.96,1.96,24.14,4.94,16.41,2.79,0.1295,-0.0795,0.09853,0.03,2.53,0.41,2.41,3.53,13.96,0.6,0.53,0.91,1.81,16.37,0.3,0.89,0.39,1.56,2.45,4.53,2.79,0.1295,-0.0795,0.09853,24.14,24.14,24.14,1325,0.643,3712,1092,0.6295,2947,20,0.7674,86,643,0.6721,1961,15.9,2.76,1511.0,1513.0,-0.84,0.97,15.9,2.74,11.49,1.67,0.2839,-0.026,0.25,0.98,0.35,1.75,5.76,11.49,0.72,0.72,5.39,12.53,0.23,6.11,13.25,0.27,1.64,-0.08,-0.15,-0.01,0.2839,-0.026,12.97,15.9,15.9,1504.0,0.5674,3477.0,1282.0,0.5443,2813.0,29.0,0.6329,79.0,701.0,0.6114,1804.0
22,18.04,3.5,1435.0,1473.0,-1.96,1.96,18.04,3.69,12.26,2.08,0.0967,-0.0835,0.07291,0.03,1.89,0.31,1.8,2.64,10.43,0.44,0.4,0.68,1.35,12.23,0.22,0.67,0.29,1.16,1.83,3.39,2.08,0.0967,-0.0835,0.07291,18.04,18.04,18.04,2122,0.4283,3712,1747,0.4072,2947,186,0.3586,290,1099,0.4396,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,22.12,3.73,1462.0,1503.0,-0.84,1.11,22.12,3.92,16.89,1.3,0.1201,-0.1322,0.0392,0.01,2.89,0.36,1.03,3.93,15.12,0.17,0.4,3.25,0.11,16.15,0.15,0.45,0.33,1.32,1.77,4.41,1.3,0.1201,-0.1322,0.0392,26.7,22.12,22.12,1589,0.5723,3715,1300,0.5592,2949,36,0.6129,93,62,0.554,139,14.81,2.65,1498.0,1503.0,-0.8,0.96,14.81,4.82,8.98,1.01,0.0279,-0.1056,0.11,1.6,0.64,3.22,4.54,8.98,0.69,0.68,4.49,11.52,0.19,5.18,12.2,0.43,0.7,-0.02,-0.06,-0.04,0.0279,-0.1056,18.67,14.81,15.93,1646.0,0.5266,3477.0,1397.0,0.5034,2813.0,44.0,0.4943,87.0,69.0,0.4567,127.0
27,67.13,7.59,1768.0,1810.0,-0.73,1.02,67.13,13.6,43.45,10.08,0.4703,0.3627,0.57487,-0.03,3.4,1.52,10.2,10.86,42.86,1.11,2.17,3.74,5.26,53.06,-0.31,-0.94,0.38,1.54,0.59,12.34,10.08,0.4703,0.3627,0.57487,43.91,67.13,67.13,27,0.9927,3712,17,0.9942,2947,1,0.9981,529,1,0.9981,529,44.22,6.14,1856.0,1790.0,-0.94,0.82,44.22,11.83,28.99,3.4,0.6258,0.2322,0.25,1.97,1.99,9.86,8.31,28.99,3.27,3.31,7.03,35.54,5.2,10.3,38.84,0.19,2.1,0.53,0.39,0.19,0.6258,0.2322,22.68,45.48,46.97,35.0,0.9899,3477.0,29.0,0.9897,2813.0,6.0,0.9883,511.0,6.0,0.9883,511.0
28,18.57,3.5,1438.0,1477.0,-1.96,1.96,18.57,3.8,12.62,2.14,0.0996,-0.0832,0.07514,0.03,1.94,0.32,1.86,2.72,10.74,0.46,0.41,0.7,1.39,12.59,0.23,0.69,0.3,1.2,1.89,3.49,2.14,0.0996,-0.0832,0.07514,18.57,18.57,18.57,2044,0.4494,3712,1685,0.4282,2947,89,0.4106,151,1054,0.4625,1961,11.13,3.7,1453.0,1468.0,-0.94,0.86,11.13,2.52,7.48,1.14,0.1604,0.0261,0.18,1.27,0.25,1.25,3.69,7.48,1.34,1.34,2.6,7.38,0.48,3.94,8.72,0.65,0.32,-0.0,0.11,0.06,0.1604,0.0261,9.27,11.13,13.98,2181.0,0.3727,3477.0,1818.0,0.3537,2813.0,89.0,0.3819,144.0,1082.0,0.4002,1804.0
31,26.74,3.5,1494.0,1539.0,-1.96,1.96,26.74,5.47,18.18,3.09,0.1435,-0.0778,0.10945,0.04,2.8,0.46,2.67,3.92,15.46,0.66,0.59,1.0,2.0,18.13,0.33,0.99,0.43,1.72,2.72,5.02,3.09,0.1435,-0.0778,0.10945,26.74,26.74,26.74,1059,0.7147,3712,872,0.7041,2947,9,0.775,40,497,0.7466,1961,23.87,5.03,1608.0,1576.0,-0.71,1.05,23.87,11.19,10.8,1.87,0.377,-0.1099,0.24,1.02,2.04,10.17,4.99,10.8,0.93,0.95,6.1,20.03,0.58,7.03,20.97,0.36,1.55,0.13,-0.2,0.02,0.377,-0.1099,11.6,23.87,23.87,702.0,0.7981,3477.0,611.0,0.7828,2813.0,5.0,0.8649,37.0,294.0,0.837,1804.0
33,61.06,6.62,1727.0,1769.0,-0.87,1.07,61.06,11.7,40.24,9.12,0.5162,0.0687,0.59535,0.2,3.39,1.2,8.31,7.69,33.18,-0.26,1.43,3.19,4.48,41.49,0.49,1.48,1.4,5.58,7.06,10.75,9.12,0.5162,0.0687,0.59535,46.39,61.06,62.0,72,0.9806,3712,55,0.9813,2947,6,0.9887,529,6,0.9887,529,43.91,6.05,1853.0,1786.0,-0.7,1.03,43.91,10.16,29.68,4.07,0.5806,0.3246,0.18,2.07,1.63,8.08,8.98,29.68,3.47,3.48,7.14,34.28,5.06,10.6,37.76,-0.1,3.21,0.69,0.14,0.13,0.5806,0.3246,23.97,35.61,44.02,38.0,0.9891,3477.0,32.0,0.9886,2813.0,7.0,0.9863,511.0,7.0,0.9863,511.0
34,16.67,4.51,1425.0,1461.0,-0.98,1.12,16.67,2.19,10.52,3.95,-0.1021,-0.077,0.31978,0.24,1.96,-0.02,0.23,2.09,10.47,0.15,-0.58,0.6,1.96,10.7,0.57,1.7,-0.41,-1.65,0.05,2.29,3.95,-0.1021,-0.077,0.31978,14.46,16.67,16.74,2480,0.3319,3712,2036,0.3091,2947,6,0.5385,13,1346,0.3136,1961,5.26,5.91,1381.0,1391.0,-0.88,0.88,5.26,2.39,2.9,-0.04,-0.2057,-0.1832,0.33,1.92,0.09,0.48,1.93,2.9,0.87,0.86,1.15,2.52,-0.03,2.02,3.38,0.05,-0.31,-0.12,0.37,-0.03,-0.2057,-0.1832,9.73,9.02,11.92,3226.0,0.0722,3477.0,2624.0,0.0672,2813.0,13.0,0.0714,14.0,1665.0,0.0771,1804.0
41,14.86,4.27,1413.0,1445.0,-0.92,1.12,14.86,3.93,8.67,2.27,0.1827,-0.1299,0.06999,-0.04,2.81,0.18,1.12,2.6,10.21,0.45,0.43,0.61,1.27,11.33,-0.13,-0.39,-0.29,-1.15,-1.55,2.34,2.27,0.1827,-0.1299,0.06999,20.84,14.86,15.08,2736,0.2629,3712,2228,0.244,2947,69,0.2581,93,105,0.2446,139,14.51,2.84,1494.0,1500.0,-0.74,1.01,14.51,5.63,6.82,2.06,-0.0904,0.0129,0.01,0.68,1.03,4.95,2.9,6.82,0.59,0.66,3.33,11.12,0.52,3.93,11.77,0.35,1.08,0.09,0.31,0.22,-0.0904,0.0129,13.13,14.51,14.71,1701.0,0.5108,3477.0,1437.0,0.4892,2813.0,47.0,0.4598,87.0,73.0,0.4252,127.0
45,40.28,7.6,1586.0,1627.0,-0.75,1.0,40.28,7.05,27.98,5.26,0.4353,-0.034,0.35728,0.07,3.06,0.63,3.99,5.84,23.97,0.35,1.23,1.74,3.05,27.95,0.2,0.6,0.85,3.41,4.01,7.45,5.26,0.4353,-0.034,0.35728,29.62,40.28,40.42,377,0.8985,3715,298,0.8989,2949,9,0.8732,71,9,0.8732,71,25.31,4.86,1626.0,1587.0,-0.99,0.76,25.31,9.28,13.05,2.98,0.3485,0.0409,0.33,1.64,1.49,7.64,5.52,13.05,1.34,1.28,5.67,19.41,1.14,7.01,20.69,0.07,2.61,0.57,-0.22,-0.05,0.3485,0.0409,15.32,28.11,29.89,597.0,0.8283,3477.0,516.0,0.8166,2813.0,20.0,0.6825,63.0,20.0,0.6825,63.0
48,27.78,5.72,1501.0,1546.0,-1.08,1.0,27.78,5.26,20.03,2.49,0.2302,0.0663,0.05961,0.02,3.54,0.28,1.72,4.9,17.68,1.05,0.92,1.93,1.26,19.4,0.26,0.79,0.39,1.56,2.35,5.81,2.49,0.2302,0.0663,0.05961,33.04,27.78,31.88,969,0.739,3712,794,0.7306,2947,17,0.7258,62,445,0.7731,1961,28.43,3.76,1664.0,1611.0,-0.83,0.93,28.43,7.4,19.87,1.16,0.5745,0.036,0.37,1.38,1.19,6.02,7.8,19.87,3.15,3.13,5.85,22.76,2.48,9.0,25.89,0.38,0.78,0.13,-0.11,-0.02,0.5745,0.036,18.23,28.43,28.43,405.0,0.8835,3477.0,354.0,0.8742,2813.0,9.0,0.8421,57.0,157.0,0.913,1804.0
51,44.54,6.61,1615.0,1657.0,-0.84,1.11,44.54,6.34,32.05,6.14,0.2386,-0.0303,0.24868,0.11,2.89,0.47,3.46,6.53,28.67,0.29,0.59,1.99,4.19,32.13,0.77,2.31,0.27,1.06,3.38,8.1,6.14,0.2386,-0.0303,0.24868,36.14,44.54,45.81,257,0.9308,3712,202,0.9315,2947,35,0.9338,529,35,0.9338,529,28.85,5.13,1669.0,1614.0,-0.77,0.98,28.85,10.7,15.48,2.67,0.2026,0.112,0.31,1.7,1.8,9.01,5.64,15.48,2.45,2.45,4.99,22.03,2.22,7.44,24.49,0.16,1.81,-0.06,0.68,0.08,0.2026,0.112,23.5,23.4,29.76,386.0,0.889,3477.0,338.0,0.8798,2813.0,74.0,0.8552,511.0,74.0,0.8552,511.0
56,33.43,7.44,1539.0,1584.0,-0.77,1.16,33.43,5.78,27.92,-0.27,0.1745,-0.1268,-0.10118,-0.0,3.07,0.61,2.71,5.76,25.48,0.48,0.46,0.94,4.09,28.19,0.1,0.29,0.54,2.16,2.44,6.61,-0.27,0.1745,-0.1268,-0.10118,27.16,33.43,33.55,622,0.8324,3712,503,0.8293,2947,13,0.8602,93,28,0.7986,139,23.94,2.87,1609.0,1576.0,-0.73,1.01,23.94,9.57,12.45,1.92,0.3386,0.1371,0.34,1.76,1.55,7.81,5.55,12.45,1.77,1.75,5.32,18.51,1.05,7.1,20.26,0.04,1.58,0.16,0.21,-0.07,0.3386,0.1371,12.81,23.94,23.94,699.0,0.799,3477.0,608.0,0.7839,2813.0,19.0,0.7816,87.0,36.0,0.7165,127.0
58,50.21,5.86,1653.0,1690.0,-0.78,0.98,50.21,9.23,34.65,6.33,0.3379,0.1285,0.29524,0.14,2.82,0.96,6.41,8.65,34.96,1.16,1.52,1.83,5.02,41.37,0.34,1.01,-0.33,-1.32,-0.31,9.58,6.33,0.3379,0.1285,0.29524,30.66,50.21,50.21,172,0.9537,3715,135,0.9542,2949,4,0.7647,17,18,0.9058,191,27.08,7.02,1647.0,1600.0,-1.0,0.75,27.08,11.35,13.45,2.28,0.193,0.1529,0.33,1.81,1.9,9.54,5.45,13.45,2.01,2.0,5.35,20.99,1.52,7.36,22.99,0.14,2.09,0.21,-0.32,0.16,0.193,0.1529,16.64,31.55,33.03,480.0,0.8619,3477.0,422.0,0.85,2813.0,6.0,0.6842,19.0,40.0,0.7802,182.0
59,39.6,3.5,1581.0,1626.0,-1.96,1.96,39.6,8.1,26.92,4.57,0.2127,-0.0694,0.16346,0.06,4.15,0.68,3.96,5.8,22.9,0.98,0.87,1.49,2.97,26.86,0.49,1.47,0.64,2.55,4.02,7.44,4.57,0.2127,-0.0694,0.16346,39.6,39.6,39.6,384,0.8966,3712,303,0.8972,2947,6,0.9302,86,161,0.9179,1961,35.79,5.04,1754.0,1693.0,-0.84,0.92,35.79,9.06,20.26,6.47,0.2856,0.3808,0.36,2.1,1.41,6.96,6.27,20.26,3.11,3.14,4.57,24.09,3.6,7.68,27.22,-0.04,3.11,0.03,3.13,0.23,0.2856,0.3808,20.96,34.91,38.46,161.0,0.9537,3477.0,140.0,0.9502,2813.0,2.0,0.9747,79.0,60.0,0.9667,1804.0
60,21.49,5.95,1458.0,1500.0,-1.13,0.9,21.49,4.52,13.76,3.21,0.0322,-0.1338,0.19725,0.22,2.84,0.25,1.68,2.36,9.55,0.38,0.18,0.74,1.29,11.23,1.13,3.38,0.21,0.83,4.21,3.92,3.21,0.0322,-0.1338,0.19725,26.82,21.49,22.78,1633,0.5601,3712,1338,0.546,2947,16,0.6522,46,833,0.5752,1961,20.04,4.85,1561.0,1546.0,-0.74,1.02,20.04,5.54,12.02,2.47,0.1992,0.0849,0.01,0.69,0.97,4.86,4.84,12.02,0.58,0.58,5.23,16.3,0.97,5.81,16.88,0.41,1.84,0.06,0.01,0.14,0.1992,0.0849,14.74,20.04,20.04,1027.0,0.7046,3477.0,883.0,0.6861,2813.0,8.0,0.814,43.0,445.0,0.7533,1804.0
61,32.1,7.19,1530.0,1573.0,-0.83,0.94,32.1,5.01,20.98,6.11,0.2979,-0.1135,0.48562,-0.03,2.98,0.33,2.04,4.62,21.85,0.07,0.35,0.36,4.11,23.89,-0.04,-0.11,-0.19,-0.76,-0.88,4.65,6.11,0.2979,-0.1135,0.48562,24.93,32.1,34.43,703,0.8108,3715,571,0.8064,2949,23,0.6714,70,61,0.6806,191,16.31,2.61,1516.0,1516.0,-0.85,0.92,16.31,5.97,7.59,2.75,0.2234,0.0408,0.18,1.14,0.94,4.83,3.54,7.59,0.57,0.52,3.91,11.9,0.38,4.48,12.42,0.3,1.95,0.36,0.18,-0.04,0.2234,0.0408,15.09,16.31,16.46,1452.0,0.5824,3477.0,1240.0,0.5592,2813.0,48.0,0.3043,69.0,117.0,0.3571,182.0
63,26.71,3.5,1494.0,1538.0,-1.96,1.96,26.71,5.46,18.16,3.08,0.1434,-0.0778,0.10933,0.04,2.8,0.46,2.67,3.91,15.44,0.66,0.59,1.0,2.0,18.12,0.33,0.99,0.43,1.72,2.71,5.02,3.08,0.1434,-0.0778,0.10933,26.71,26.71,26.71,1066,0.7128,3712,877,0.7024,2947,26,0.6438,73,501,0.7445,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,37.58,6.18,1567.0,1613.0,-0.66,1.05,37.58,6.81,27.82,2.95,0.5002,-0.096,0.11832,0.13,3.17,1.0,3.65,6.41,22.27,0.66,3.16,1.55,1.22,25.92,0.76,2.28,0.82,3.27,5.55,8.17,2.95,0.5002,-0.096,0.11832,23.98,37.58,37.62,444,0.8804,3712,353,0.8802,2947,71,0.8658,529,71,0.8658,529,15.58,3.91,1507.0,1510.0,-0.8,0.96,15.58,4.68,6.21,4.69,0.0124,0.3577,0.22,1.61,0.61,3.07,3.18,6.21,0.31,0.31,3.49,8.97,0.05,3.79,9.28,0.17,2.0,-0.17,2.62,0.07,0.0124,0.3577,12.76,15.58,15.58,1539.0,0.5574,3477.0,1308.0,0.535,2813.0,233.0,0.544,511.0,233.0,0.544,511.0
67,57.31,5.52,1701.0,1743.0,-0.82,1.1,57.31,17.8,33.86,5.65,0.4732,0.1513,0.37852,0.17,3.56,2.06,14.24,7.69,30.98,0.62,1.61,2.33,5.13,45.22,0.39,1.16,0.43,1.72,2.88,10.5,5.65,0.4732,0.1513,0.37852,41.62,57.31,57.88,101,0.9728,3712,78,0.9735,2947,11,0.9792,529,11,0.9792,529,35.65,7.22,1752.0,1691.0,-0.7,1.03,35.65,12.57,18.72,4.35,0.3979,0.2743,0.28,1.39,2.24,11.19,6.52,18.72,2.73,2.73,6.02,27.17,2.81,8.76,29.91,-0.04,2.31,-0.06,2.09,0.05,0.3979,0.2743,27.26,34.31,39.22,163.0,0.9531,3477.0,141.0,0.9499,2813.0,25.0,0.9511,511.0,25.0,0.9511,511.0
68,48.24,7.74,1640.0,1681.0,-0.89,1.1,48.24,8.6,32.46,7.17,0.4028,0.0688,0.42834,0.14,3.07,0.81,5.54,6.92,27.31,0.52,1.59,2.42,3.12,32.85,0.73,2.2,0.74,2.95,5.15,9.13,7.17,0.4028,0.0688,0.42834,29.94,48.24,49.36,180,0.9515,3712,142,0.9518,2947,26,0.9509,529,26,0.9509,529,27.09,2.97,1647.0,1600.0,-0.92,0.84,27.09,10.99,14.12,1.98,0.1785,0.2558,0.29,2.03,1.78,8.97,4.99,14.12,2.45,2.43,4.31,20.66,2.21,6.77,23.09,0.43,1.54,0.27,-0.23,-0.03,0.1785,0.2558,14.01,27.21,29.07,478.0,0.8625,3477.0,420.0,0.8507,2813.0,88.0,0.8278,511.0,88.0,0.8278,511.0
69,25.44,3.33,1485.0,1529.0,-0.98,1.01,25.44,4.16,19.45,1.83,0.1686,-0.131,0.13562,0.02,2.44,0.34,1.72,3.27,15.82,0.16,-0.19,0.39,3.08,17.55,0.29,0.86,0.69,2.77,3.63,4.4,1.83,0.1686,-0.131,0.13562,23.95,25.44,25.77,1194,0.6783,3712,984,0.6661,2947,39,0.4429,70,97,0.4921,191,18.9,3.87,1548.0,1537.0,-0.71,1.03,18.9,4.49,12.83,1.58,0.2032,-0.0857,0.17,0.87,0.73,3.62,5.54,12.83,1.66,1.67,4.61,14.78,1.13,6.27,16.45,0.38,1.41,-0.08,-0.15,0.01,0.2032,-0.0857,12.44,18.9,19.03,1152.0,0.6687,3477.0,987.0,0.6491,2813.0,37.0,0.4638,69.0,96.0,0.4725,182.0
70,46.67,4.26,1629.0,1671.0,-0.85,1.08,46.67,7.49,33.24,5.95,0.3141,-0.1349,0.31853,-0.01,3.23,0.75,4.26,6.65,30.28,0.16,0.49,1.51,5.0,34.54,0.23,0.69,0.57,2.26,2.95,7.95,5.95,0.3141,-0.1349,0.31853,35.01,46.67,46.78,208,0.944,3712,161,0.9454,2947,28,0.9471,529,28,0.9471,529,28.58,6.5,1666.0,1612.0,-1.06,0.6,28.58,6.11,17.07,5.4,0.3038,0.3049,0.46,1.58,0.91,4.53,6.11,17.07,3.15,3.15,3.87,18.45,2.67,7.01,21.6,0.21,2.38,0.11,2.62,0.08,0.3038,0.3049,22.41,30.2,32.2,402.0,0.8844,3477.0,351.0,0.8752,2813.0,76.0,0.8513,511.0,76.0,0.8513,511.0
71,14.59,5.35,1411.0,1442.0,-1.1,0.94,14.59,4.7,8.3,1.59,0.0874,-0.1378,0.02225,-0.02,2.45,0.31,2.25,1.93,7.4,0.5,0.46,-0.23,1.51,9.64,-0.0,-0.01,0.23,0.91,0.9,2.47,1.59,0.0874,-0.1378,0.02225,23.55,14.59,15.55,2807,0.2444,3715,2287,0.2245,2949,55,0.2254,71,55,0.2254,71,12.07,2.64,1464.0,1477.0,-0.83,0.94,12.07,4.43,7.62,0.02,0.03,-0.1225,0.18,1.62,0.57,2.81,4.07,7.62,0.55,0.57,4.09,9.85,0.01,4.64,10.43,0.38,-0.05,-0.03,-0.25,-0.03,0.03,-0.1225,14.52,12.07,14.85,2027.0,0.417,3477.0,1695.0,0.3974,2813.0,44.0,0.3016,63.0,44.0,0.3016,63.0
74,25.28,4.44,1484.0,1528.0,-0.83,1.14,25.28,2.58,14.73,7.96,0.0339,-0.1296,0.47906,-0.05,2.99,-0.05,-0.41,3.94,16.36,0.89,0.34,0.01,2.65,15.95,-0.41,-1.22,-0.1,-0.41,-1.63,3.38,7.96,0.0339,-0.1296,0.47906,29.79,25.28,25.28,1208,0.6746,3712,997,0.6617,2947,182,0.656,529,182,0.656,529,23.91,3.65,1609.0,1576.0,-0.73,1.01,23.91,8.83,13.19,1.88,0.2898,-0.0121,0.1,1.33,1.5,7.5,6.19,13.19,1.19,1.19,6.49,19.5,0.67,7.68,20.69,0.31,1.72,-0.04,-0.11,0.0,0.2898,-0.0121,17.28,23.91,23.91,701.0,0.7984,3477.0,610.0,0.7831,2813.0,118.0,0.7691,511.0,118.0,0.7691,511.0
