team,epa_2025_total_points_mean,epa_2025_total_points_sd,epa_2025_unitless,epa_2025_norm,epa_2025_conf_low,epa_2025_conf_high,epa_2025_breakdown_total_points,epa_2025_breakdown_auto_points,epa_2025_breakdown_teleop_points,epa_2025_breakdown_endgame_points,epa_2025_breakdown_auto_rp,epa_2025_breakdown_coral_rp,epa_2025_breakdown_barge_rp,epa_2025_breakdown_tiebreaker_points,epa_2025_breakdown_auto_leave_points,epa_2025_breakdown_auto_coral,epa_2025_breakdown_auto_coral_points,epa_2025_breakdown_teleop_coral,epa_2025_breakdown_teleop_coral_points,epa_2025_breakdown_coral_l1,epa_2025_breakdown_coral_l2,epa_2025_breakdown_coral_l3,epa_2025_breakdown_coral_l4,epa_2025_breakdown_total_coral_points,epa_2025_breakdown_processor_algae,epa_2025_breakdown_processor_algae_points,epa_2025_breakdown_net_algae,epa_2025_breakdown_net_algae_points,epa_2025_breakdown_total_algae_points,epa_2025_breakdown_total_game_pieces,epa_2025_breakdown_barge_points,epa_2025_breakdown_rp_1,epa_2025_breakdown_rp_2,epa_2025_breakdown_rp_3,epa_2025_stats_start,epa_2025_stats_pre_champs,epa_2025_stats_max,epa_2025_ranks_total_rank,epa_2025_ranks_total_percentile,epa_2025_ranks_total_team_count,epa_2025_ranks_country_rank,epa_2025_ranks_country_percentile,epa_2025_ranks_country_team_count,epa_2025_ranks_state_rank,epa_2025_ranks_state_percentile,epa_2025_ranks_state_team_count,epa_2025_ranks_district_rank,epa_2025_ranks_district_percentile,epa_2025_ranks_district_team_count,epa_2024_total_points_mean,epa_2024_total_points_sd,epa_2024_unitless,epa_2024_norm,epa_2024_conf_low,epa_2024_conf_high,epa_2024_breakdown_total_points,epa_2024_breakdown_auto_points,epa_2024_breakdown_teleop_points,epa_2024_breakdown_endgame_points,epa_2024_breakdown_melody_rp,epa_2024_breakdown_ensemble_rp,epa_2024_breakdown_tiebreaker_points,epa_2024_breakdown_auto_leave_points,epa_2024_breakdown_auto_notes,epa_2024_breakdown_auto_note_points,epa_2024_breakdown_teleop_notes,epa_2024_breakdown_teleop_note_points,epa_2024_breakdown_amp_notes,epa_2024_breakdown_amp_points,epa_2024_breakdown_speaker_notes,epa_2024_breakdown_speaker_points,epa_2024_breakdown_amplified_notes,epa_2024_breakdown_total_notes,epa_2024_breakdown_total_note_points,epa_2024_breakdown_endgame_park_points,epa_2024_breakdown_endgame_on_stage_points,epa_2024_breakdown_endgame_harmony_points,epa_2024_breakdown_endgame_trap_points,epa_2024_breakdown_endgame_spotlight_points,epa_2024_breakdown_rp_1,epa_2024_breakdown_rp_2,epa_2024_stats_start,epa_2024_stats_pre_champs,epa_2024_stats_max,epa_2024_ranks_total_rank,epa_2024_ranks_total_percentile,epa_2024_ranks_total_team_count,epa_2024_ranks_country_rank,epa_2024_ranks_country_percentile,epa_2024_ranks_country_team_count,epa_2024_ranks_state_rank,epa_2024_ranks_state_percentile,epa_2024_ranks_state_team_count,epa_2024_ranks_district_rank,epa_2024_ranks_district_percentile,epa_2024_ranks_district_team_count
7687,21.16,3.5,1456.0,1498.0,-1.96,1.96,21.16,4.33,14.38,2.44,0.1135,-0.0815,0.08602,0.03,2.22,0.36,2.12,3.1,12.23,0.52,0.47,0.79,1.59,14.35,0.26,0.78,0.34,1.36,2.15,3.97,2.44,0.1135,-0.0815,0.08602,21.16,21.16,21.16,1673,0.5493,3712,34,0.6047,86,212,0.6294,572,853,0.565,1961,14.82,3.4,1498.0,1503.0,-0.85,1.17,14.82,5.38,8.72,0.73,0.1537,-0.1381,0.05,1.16,0.84,4.21,3.95,8.72,0.84,0.83,3.95,12.1,0.56,4.78,12.93,0.87,-0.13,-0.0,0.02,-0.02,0.1537,-0.1381,8.32,14.82,14.82,1645.0,0.5269,3477.0,23.0,0.7326,86.0,152.0,0.6724,464.0,779.0,0.5682,1804.0
7688,17.86,3.83,1434.0,1471.0,-0.85,1.24,17.86,3.19,9.36,5.31,0.2044,-0.0473,0.22988,-0.02,2.5,0.1,0.69,2.6,9.78,-0.14,1.09,1.56,0.21,10.47,0.37,1.12,-0.39,-1.54,-0.42,2.71,5.31,0.2044,-0.0473,0.22988,14.64,17.86,17.86,2274,0.3874,3712,118,0.3886,193,4,0.8,20,1219,0.3784,1961,5.41,2.91,1383.0,1393.0,-1.02,1.02,5.41,2.24,2.12,1.05,-0.1011,0.0648,-0.08,1.36,0.21,0.89,1.01,2.12,0.72,0.77,0.5,2.24,0.26,1.22,3.01,0.82,0.23,-0.01,-0.05,0.05,-0.1011,0.0648,9.43,5.41,6.37,3198.0,0.0802,3477.0,188.0,0.06,200.0,14.0,0.2222,18.0,1648.0,0.0865,1804.0
7691,22.81,3.5,1467.0,1510.0,-1.96,1.96,22.81,4.67,15.51,2.63,0.1224,-0.0804,0.09296,0.03,2.39,0.39,2.28,3.34,13.19,0.56,0.5,0.86,1.71,15.47,0.28,0.84,0.37,1.47,2.32,4.28,2.63,0.1224,-0.0804,0.09296,22.81,22.81,22.81,1468,0.6045,3712,1201,0.5925,2947,57,0.6743,175,57,0.6968,188,14.95,3.17,1499.0,1504.0,-0.96,0.79,14.95,3.22,9.13,2.6,0.0048,0.0194,0.37,0.09,0.63,3.14,3.92,9.13,1.61,1.61,2.93,10.66,0.97,4.54,12.27,0.31,1.79,0.01,0.32,0.17,0.0048,0.0194,11.61,14.95,16.53,1629.0,0.5315,3477.0,1383.0,0.5084,2813.0,70.0,0.5977,174.0,73.0,0.6117,188.0
7692,22.83,3.5,1467.0,1510.0,-1.96,1.96,22.83,4.67,15.52,2.64,0.1225,-0.0804,0.09304,0.03,2.39,0.39,2.28,3.34,13.2,0.56,0.5,0.86,1.71,15.48,0.28,0.84,0.37,1.47,2.32,4.29,2.64,0.1225,-0.0804,0.09304,22.83,22.83,22.83,1465,0.6053,3712,1199,0.5931,2947,226,0.5728,529,226,0.5728,529,13.75,2.94,1485.0,1494.0,-0.88,0.88,13.75,3.59,8.42,1.74,0.083,0.0251,0.12,1.11,0.5,2.49,3.9,8.42,2.21,2.21,2.19,8.7,0.94,4.4,10.91,0.42,1.09,0.14,-0.01,0.09,0.083,0.0251,12.55,13.75,15.11,1808.0,0.48,3477.0,1524.0,0.4582,2813.0,273.0,0.4658,511.0,273.0,0.4658,511.0
7694,23.03,7.58,1469.0,1511.0,-0.99,1.04,23.03,2.73,20.03,0.27,0.0638,-0.053,-0.14689,-0.01,2.43,0.04,0.3,4.7,19.82,0.29,0.9,0.89,2.62,20.12,-0.0,-0.0,0.05,0.21,0.21,4.76,0.27,0.0638,-0.053,-0.14689,24.46,23.03,23.03,1456,0.6081,3715,1195,0.5948,2949,31,0.4151,53,109,0.4293,191,16.84,4.9,1522.0,1520.0,-0.9,0.87,16.84,6.19,8.51,2.14,0.2045,0.132,0.07,1.1,1.04,5.09,3.78,8.51,0.83,0.86,3.99,12.74,0.58,4.82,13.6,0.33,1.44,0.21,0.09,0.06,0.2045,0.132,12.79,16.84,17.29,1383.0,0.6022,3477.0,1183.0,0.5795,2813.0,29.0,0.3696,46.0,110.0,0.3956,182.0
7700,8.13,4.08,1367.0,1382.0,-1.09,0.94,8.13,2.05,4.34,1.73,0.118,-0.1298,0.05602,0.04,2.86,-0.05,-0.8,0.91,2.42,0.72,0.03,-0.1,0.1,1.61,0.1,0.31,0.4,1.61,1.92,1.25,1.73,0.118,-0.1298,0.05602,19.21,8.13,11.26,3528,0.0496,3712,184,0.0466,193,33,0.0294,34,1880,0.0413,1961,11.58,2.87,1458.0,1472.0,-0.94,1.16,11.58,4.66,5.41,1.51,-0.024,-0.0257,-0.02,1.53,0.62,3.13,2.79,5.41,0.65,0.64,2.76,7.89,0.16,3.41,8.54,0.84,0.52,0.05,-0.01,0.11,-0.024,-0.0257,9.59,11.58,11.58,2105.0,0.3946,3477.0,130.0,0.35,200.0,25.0,0.359,39.0,1035.0,0.4263,1804.0
7703,16.52,3.5,1424.0,1460.0,-1.96,1.96,16.52,3.38,11.23,1.91,0.0886,-0.0845,0.06657,0.02,1.73,0.28,1.65,2.42,9.56,0.41,0.36,0.62,1.24,11.21,0.2,0.61,0.27,1.06,1.68,3.1,1.91,0.0886,-0.0845,0.06657,16.52,16.52,16.52,2505,0.3252,3712,2059,0.3013,2947,28,0.3913,46,1357,0.308,1961,8.34,1.95,1419.0,1435.0,-0.94,1.16,8.34,4.13,3.19,1.02,-0.0164,-0.0167,0.13,1.48,0.53,2.65,1.94,3.19,1.17,1.18,1.29,4.66,0.16,2.47,5.84,0.53,0.44,0.01,-0.0,0.05,-0.0164,-0.0167,8.19,8.34,8.34,2703.0,0.2226,3477.0,2215.0,0.2126,2813.0,30.0,0.3023,43.0,1377.0,0.2367,1804.0
7709,46.02,9.24,1625.0,1667.0,-0.81,1.18,46.02,9.43,35.36,1.23,0.4583,0.0427,-0.0491,0.04,3.06,0.97,6.37,7.5,32.41,0.46,0.92,1.94,5.08,38.78,0.22,0.66,0.57,2.29,2.95,9.18,1.23,0.4583,0.0427,-0.0491,24.2,46.02,46.08,219,0.941,3712,2,0.9444,36,32,0.9441,572,91,0.9536,1961,18.66,4.67,1545.0,1535.0,-0.8,1.02,18.66,5.79,11.52,1.35,0.3059,0.0966,0.14,1.55,0.85,4.24,5.05,11.52,0.98,0.98,4.91,14.79,0.8,5.9,15.77,0.53,0.85,-0.06,0.0,0.03,0.3059,0.0966,11.33,18.66,18.66,1174.0,0.6624,3477.0,7.0,0.75,28.0,99.0,0.7866,464.0,531.0,0.7057,1804.0
7712,22.11,7.21,1462.0,1503.0,-0.81,0.95,22.11,4.29,13.92,3.9,0.2353,-0.1689,0.21423,-0.03,2.3,0.38,1.99,3.3,14.74,0.02,0.48,0.71,2.3,16.73,0.04,0.13,-0.23,-0.94,-0.81,3.31,3.9,0.2353,-0.1689,0.21423,28.67,22.11,23.75,1589,0.5723,3715,91,0.5285,193,69,0.4692,130,69,0.4692,130,23.45,3.83,1603.0,1573.0,-0.82,0.94,23.45,9.08,12.75,1.61,0.1759,0.2298,0.31,1.74,1.47,7.34,4.29,12.75,1.61,1.62,4.15,18.47,1.92,5.76,20.09,0.57,0.96,0.03,-0.12,0.18,0.1759,0.2298,13.45,23.85,24.29,742.0,0.7866,3477.0,45.0,0.775,200.0,42.0,0.6912,136.0,42.0,0.6912,136.0
7713,4.56,2.52,1343.0,1346.0,-1.0,1.03,4.56,0.83,1.06,2.67,-0.131,-0.1355,0.00725,-0.08,1.38,-0.08,-0.55,0.79,1.64,0.4,0.52,0.04,-0.26,1.09,0.09,0.27,-0.21,-0.85,-0.58,0.58,2.67,-0.131,-0.1355,0.00725,14.68,4.56,5.06,3666,0.0124,3712,2912,0.0119,2947,525,0.0076,529,525,0.0076,529,5.1,2.46,1379.0,1389.0,-0.83,0.95,5.1,2.0,1.78,1.32,-0.1083,0.0138,-0.03,1.86,0.03,0.14,1.09,1.78,0.15,0.15,0.97,1.77,-0.08,1.12,1.92,0.77,0.39,0.11,-0.0,0.06,-0.1083,0.0138,10.53,5.1,6.26,3244.0,0.067,3477.0,2638.0,0.0622,2813.0,476.0,0.0685,511.0,476.0,0.0685,511.0
